cluster,query,intent,priority,target_url,google_ai_overview,chatgpt_cited,perplexity_cited,cited_competitors,checked_at,notes
Beginners,what is an AI agent,Informational,High,/knowledge/ai-agents-in-plain-english,,,,,,
Beginners,AI agent vs chatbot,Informational,High,/knowledge/ai-agents-in-plain-english,,,,,,
Beginners,how to build your first AI agent,Informational,High,/knowledge/building-your-first-agent,,,,,,
Beginners,how to choose your first AI agent workflow,Informational,High,/knowledge/choose-your-first-agent-workflow,,,,,,
Beginners,how to prompt an AI agent,Informational,Medium,/knowledge/prompting-an-agent-the-basics,,,,,,
Small Business,AI agents for small business,Commercial investigation,High,/knowledge/ai-for-your-small-business-where-to-start,,,,,,
Small Business,best first AI workflow for small business,Informational,High,/knowledge/choose-your-first-agent-workflow,,,,,,
Small Business,how to calculate AI agent ROI,Informational,High,/knowledge/ai-agent-roi-calculator-small-teams,,,,,,
Small Business,how much does an AI agent cost,Commercial investigation,High,/knowledge/ai-agent-cost-control-playbook,,,,,,
Small Business,buy vs build AI agent,Commercial investigation,Medium,/knowledge/buy-vs-build-vs-hire-agency,,,,,,
Safety and Evaluation,how to evaluate an AI agent,Informational,High,/knowledge/evaluating-agents-evals,,,,,,
Safety and Evaluation,AI agent golden set,Informational,High,/knowledge/agent-evaluation-golden-set,,,,,,
Safety and Evaluation,human in the loop AI agent,Informational,High,/knowledge/human-in-the-loop-patterns-for-agents,,,,,,
Safety and Evaluation,AI agent prompt injection,Informational,High,/knowledge/prompt-injection-in-everyday-language,,,,,,
Safety and Evaluation,AI agent guardrails,Informational,High,/knowledge/guardrails-and-safety,,,,,,
Churches and Nonprofits,AI for churches,Commercial investigation,High,/knowledge/ai-in-ministry-a-gentle-start,,,,,,
Churches and Nonprofits,AI church policy template,Commercial investigation,High,/products/ai-policy-template-pack,,,,,,
Churches and Nonprofits,AI for nonprofit organizations,Commercial investigation,High,/ai-playbook-for/nonprofits,,,,,,
Churches and Nonprofits,AI volunteer coordination,Commercial investigation,Medium,/agents/volunteer-coordinator-agent,,,,,,
Churches and Nonprofits,responsible AI for ministry,Informational,High,/knowledge/ai-in-ministry-a-gentle-start,,,,,,
