priority,business,category,market,public_url,public_contact_path,observed_fit_signal,recommended_demo,source_confidence,status
1,Threefold Ground Management,Landscaping and grounds maintenance,"Sebring / Highlands County",https://threefoldfl.com/,Website contact,"Residential and commercial landscaping plus recurring grounds and property care",https://melanatedintech.com/systems/route-retention,Company website,Research
1,Thelma's Cleaning Services,Residential and office cleaning,"Sebring / Avon Park / Lake Placid / Highlands County",https://www.thelmascleaningservices.com/,Website quote form or public phone,"Publishes weekly biweekly and monthly recurring cleaning options",https://melanatedintech.com/systems/route-retention,Company website,Research
1,Sebring Lawn & Landscape,Lawn care and landscaping,Sebring,https://www.sebringlnl.com/,Website contact,"Promotes ongoing lawn-care maintenance and landscaping",https://melanatedintech.com/systems/route-retention,Company website,Research
1,Evergreen Landscape & Nursery Inc.,Landscaping and lawn care,Sebring,https://evergreenlawncarefl.com/,Website contact or public phone,"Local landscaping company with ongoing property-care potential",https://melanatedintech.com/systems/route-retention,Company website,Research
1,Haynes Pest Control,Pest and lawn treatment,"Sebring / Central Florida",https://haynespestcontrol.com/,Website contact or public phone,"Publishes quarterly bimonthly and annual recurring pest packages",https://melanatedintech.com/systems/route-retention,Company website,Research
1,Bugs Bee-Ware Exterminating and Curb 'N Scape,Pest control and landscaping,"Sebring / Highlands County",https://bugsbeeware.com/,Website contact or public phone,"Locally operated multi-service company with recurring pest lawn and irrigation relationships",https://melanatedintech.com/systems/route-retention,Company website,Research
1,Pool Works,Pool cleaning maintenance and repair,Sebring,https://teampoolworks.com/pool-service-sebring-fl/,Website appointment form or public phone,"Offers regular weekly and biweekly pool service with assigned technicians",https://melanatedintech.com/systems/route-retention,Company website,Research
1,Nansco Pools,Pool cleaning maintenance repair and inspections,Sebring,https://www.nanscopools.com/sebring-fl/,Website contact,"Serves residential and commercial customers with recurring cleaning and maintenance",https://melanatedintech.com/systems/route-retention,Company website,Research
2,TWQ LLC,Lawn care landscaping and property maintenance,Lake Placid,https://www.twqllc.com/lake-placid-fl,Website estimate form,"Residential and commercial mowing landscaping irrigation and property maintenance",https://melanatedintech.com/systems/route-retention,Company website,Research
2,Ibañez Lawn Service,Lawn maintenance,Lake Placid,https://ibanezlawnservice.com/,Website quote form,"Publishes tailored lawn-maintenance plans and recurring service language",https://melanatedintech.com/systems/route-retention,Company website,Research
2,All-Brite Professional Cleaning Services,Cleaning restoration and remediation,"Highlands County and surrounding counties",https://allbriteprocleaning.com/,Website contact or public phone,"Long-running local company with urgent restoration and repeat commercial cleaning use cases",https://melanatedintech.com/systems/revenue-recovery,Company website,Research
2,We Clean Windows,Window cleaning,"Sebring / Highlands County",https://www.windowcleaningsebring.com/,Website scheduling contact,"Locally operated service business with scheduling and seasonal reactivation potential",https://melanatedintech.com/systems/route-retention,Company website,Research
2,Pinch A Penny Sebring #73,Pool supplies cleaning and maintenance,Sebring,https://pinchapenny.com/stores/sebring-fl-73,Store request-service form or public phone,"Local store offers pool cleaning and maintenance with a structured service request path",https://melanatedintech.com/systems/route-retention,Company location page,Research
3,NXT Pools LLC,Pool cleaning and maintenance,Sebring,https://www.bestprosintown.com/fl/sebring/nxt-pools-llc-/,Verify official contact before outreach,"Directory evidence describes recurring cleaning and long-term service customers",https://melanatedintech.com/systems/route-retention,Third-party directory only,Verify
